category,weight,cost
clothing,25,1406.88
clothing,14,897.33
other,29,1664.26
other,13,800.38
clothing,25,1495.19
electronics,2,88.66
clothing,12,742.92
electronics,10,400.36
shoes,2,201.77
clothing,14,898.41
clothing,32,1887.34
shoes,6,500.84
shoes,6,614.12
other,14,892.76
books,5,210.35
other,17,996.76
electronics,8,349.06
clothing,25,1392.71
phone,2,32.96
bag,1,62.95
other,20,1166.05
phone,2,29.37
bag,6,370.02
other,6,419.29
shoes,7,575.51
perfume,1,84.63
bag,3,253.89
shoes,6,582.43
clothing,16,927.28
clothing,1,69.44
clothing,10,683.55
clothing,31,1708.6
laptop,2,32.22
electronics,4,151.26
perfume,3,262.86
other,27,1525.09
phone,2,32.0
clothing,34,2010.23
bag,6,423.41
phone,3,45.44
clothing,8,546.68
laptop,2,31.38
other,20,1113.32
other,24,1360.81
appliances,9,618.05
electronics,1,36.94
laptop,7,103.17
clothing,31,1736.3
clothing,10,681.08
appliances,2,159.77
electronics,13,513.69
electronics,9,333.45
clothing,7,463.62
clothing,15,965.29
clothing,5,326.35
clothing,31,1785.94
other,27,1559.56
perfume,5,474.33
other,39,2175.61
phone,1,16.15
other,31,1854.99
perfume,3,253.76
clothing,35,1947.05
other,40,2346.31
shoes,2,215.63
other,37,2048.73
clothing,15,931.01
electronics,13,502.89
bag,2,141.05
shoes,2,186.15
shoes,5,516.91
perfume,1,96.59
clothing,17,1013.44
clothing,20,1128.67
other,30,1663.6
shoes,9,821.58
electronics,15,548.18
other,9,587.54
other,24,1428.17
shoes,10,844.11
shoes,1,102.26
shoes,7,594.96
electronics,13,499.36
clothing,12,722.25
clothing,3,206.77
phone,1,16.59
clothing,21,1208.86
clothing,31,1755.1
other,23,1304.39
clothing,37,2115.46
other,14,894.5
other,17,943.69
electronics,2,85.03
shoes,9,895.55
appliances,11,718.16
car parts,8,671.6
other,32,1823.44
laptop,9,134.29
shoes,6,508.6
laptop,6,81.58
clothing,24,1420.29
other,2,139.44
bag,2,146.45
clothing,30,1680.31
phone,1,14.14
electronics,5,205.64
clothing,23,1290.56
other,28,1613.57
electronics,2,77.14
bag,5,392.76
clothing,33,1880.76
clothing,15,901.37
laptop,5,83.22
shoes,6,569.84
electronics,13,502.1
clothing,34,1921.0
electronics,13,472.34
electronics,9,358.22
clothing,34,1978.84
clothing,11,696.12
clothing,11,703.04
electronics,14,538.75
electronics,14,541.85
appliances,5,341.67
electronics,10,421.14
other,13,790.71
other,26,1548.32
other,34,1905.56
books,4,167.85
other,9,617.75
shoes,5,440.14
clothing,17,963.36
shoes,5,540.07
clothing,40,2398.31
electronics,2,81.28
clothing,27,1580.52
clothing,31,1775.84
phone,1,16.15
other,11,678.31
electronics,7,252.86
electronics,4,140.28
phone,1,13.7
clothing,18,1009.36
clothing,26,1431.32
clothing,38,2203.18
bag,2,149.76
clothing,10,697.26
shoes,6,567.14
clothing,8,551.31
electronics,9,326.48
clothing,39,2220.16
other,29,1644.44
other,8,557.08
electronics,10,354.65
other,5,325.61
perfume,3,225.8
perfume,1,95.74
other,17,954.68
clothing,30,1703.72
other,11,689.61
perfume,4,337.3
laptop,5,78.77
electronics,2,82.93
car parts,14,982.84
clothing,32,1823.35
phone,2,32.24
other,7,470.45
perfume,3,238.31
phone,3,50.01
other,17,937.8
electronics,6,263.85
other,17,1000.36
books,1,51.8
clothing,32,1846.27
clothing,32,1794.36
clothing,28,1590.62
shoes,2,191.71
car parts,18,1537.98
electronics,14,528.42
electronics,10,418.3
electronics,15,546.82
shoes,1,88.11
electronics,10,393.42
phone,3,44.52
bag,5,394.08
clothing,16,889.04
other,39,2169.42
other,26,1438.57
shoes,1,95.39
other,29,1678.74
perfume,5,434.0
perfume,1,76.75
bag,6,450.82
shoes,7,692.01
shoes,1,81.75
clothing,12,774.56
clothing,22,1258.14
clothing,27,1596.6
phone,3,42.43
other,17,979.71
other,23,1279.64
other,16,929.87
other,4,277.46
other,17,971.29
laptop,4,57.31
clothing,36,2049.88
electronics,12,438.25
other,23,1299.63
laptop,4,65.09
phone,1,16.69
other,40,2260.69
electronics,13,491.81
phone,1,15.07
other,20,1160.24
clothing,6,393.2
electronics,6,268.07
electronics,11,436.97
clothing,25,1436.13
clothing,32,1909.82
other,29,1636.02
perfume,2,184.39
bag,3,232.43
clothing,13,787.92
electronics,15,544.81
electronics,11,405.84
electronics,13,519.57
electronics,3,134.92
other,5,325.85
clothing,6,411.51
shoes,7,725.33
perfume,2,156.21
shoes,9,894.69
other,9,594.85
appliances,4,259.79
phone,3,47.66
phone,2,31.19
electronics,2,88.91
other,15,961.77
other,3,208.92
clothing,10,666.4
shoes,5,460.17
clothing,15,938.2
phone,1,15.57
clothing,15,942.36
other,14,853.45
clothing,19,1111.64
clothing,2,136.87
perfume,4,350.94
phone,2,28.93
electronics,10,385.98
clothing,12,748.04
phone,3,44.39
other,37,2213.93
perfume,4,282.62
shoes,6,621.81
phone,2,26.75
other,24,1402.31
appliances,8,528.04
other,23,1284.84
clothing,9,628.91
other,16,920.21
laptop,4,55.76
clothing,33,1923.42
shoes,9,902.77
other,39,2270.1
clothing,23,1358.47
shoes,9,741.26
phone,1,15.49
other,37,2140.97
phone,2,33.09
electronics,8,298.73
electronics,2,82.48
bag,2,156.9
clothing,29,1660.29
electronics,1,40.95
perfume,4,282.92
perfume,2,150.18
clothing,23,1347.75
clothing,18,1000.42
electronics,15,531.99
shoes,10,833.34
other,9,607.63
books,2,86.47
shoes,5,402.86
electronics,11,436.52
other,15,951.19
electronics,15,539.09
electronics,7,252.85
clothing,35,2001.4
books,5,224.07
other,1,69.22
books,1,49.74
shoes,6,585.44
electronics,13,491.63
books,5,232.8
clothing,27,1590.69
shoes,4,401.74
clothing,39,2266.67
laptop,4,62.75
phone,1,14.17
electronics,8,358.0
shoes,6,487.29
clothing,26,1431.46
electronics,11,411.05
other,27,1563.14
other,31,1821.6
clothing,22,1248.97
clothing,20,1194.95
other,28,1646.03
perfume,4,327.81
clothing,17,951.77
other,15,966.66
other,6,407.55
other,7,465.34
electronics,1,39.09
perfume,1,77.32
books,1,50.55
shoes,2,163.06
clothing,34,1974.81
clothing,21,1245.43
other,2,137.18
phone,3,48.43
electronics,14,524.67
clothing,12,720.21
clothing,40,2258.78
other,35,1938.86
clothing,23,1290.8
clothing,10,677.27
electronics,10,399.33
clothing,29,1710.45
shoes,3,301.14
electronics,14,539.83
phone,1,16.48
electronics,15,562.41
electronics,13,465.04
bag,3,217.86
appliances,4,313.56
other,12,760.13
electronics,3,106.48
appliances,16,953.97
clothing,10,671.48
car parts,13,1193.49
appliances,18,1101.71
phone,2,30.04
bag,6,506.18
electronics,6,225.77
clothing,10,693.91
clothing,32,1812.15
clothing,26,1558.29
clothing,4,260.56
appliances,16,1084.03
phone,3,41.11
shoes,10,972.22
clothing,34,1980.55
clothing,21,1165.43
appliances,19,1551.85
electronics,9,398.28
electronics,13,467.87
electronics,4,145.22
other,9,605.94
other,13,781.21
other,28,1671.15
other,25,1438.16
clothing,2,139.21
other,21,1179.53
electronics,10,403.58
other,32,1883.93
car parts,12,848.1
laptop,2,29.95
electronics,1,35.34
clothing,6,416.34
other,38,2137.22
shoes,10,1078.69
electronics,11,427.19
other,4,278.83
electronics,1,36.1
bag,4,338.64
clothing,35,1975.77
clothing,28,1635.09
shoes,9,739.28
phone,3,39.8
other,3,207.32
appliances,4,291.09
other,12,755.31
perfume,3,234.46
clothing,14,900.52
other,37,2195.64
electronics,1,42.24
clothing,25,1474.26
clothing,8,540.48
appliances,1,79.61
appliances,11,653.18
books,4,198.11
phone,2,29.71
appliances,13,893.28
clothing,10,667.15
electronics,10,418.92
shoes,7,692.4
shoes,5,521.67
clothing,18,1079.51
other,1,68.66
other,27,1541.69
other,13,835.39
phone,2,30.92
other,1,67.57
electronics,7,245.29
clothing,29,1732.68
clothing,15,947.3
clothing,8,522.24
clothing,32,1919.57
clothing,35,2015.35
other,17,951.92
bag,6,500.56
appliances,13,1063.21
other,19,1047.61
other,37,2152.01
other,8,549.2
other,13,826.45
bag,5,441.7
phone,1,13.34
clothing,3,200.69
other,7,484.39
clothing,3,202.39
phone,1,13.31
clothing,5,331.8
clothing,40,2278.13
other,10,671.73
other,3,199.63
shoes,9,936.4
laptop,5,75.6
laptop,7,111.03
clothing,1,65.91
bag,3,202.55
perfume,3,248.96
appliances,12,711.8
other,4,278.88
other,10,688.67
bag,5,361.72
clothing,12,754.12
electronics,6,240.85
shoes,8,814.46
clothing,29,1731.07
clothing,16,916.09
electronics,5,201.72
electronics,3,112.65
electronics,6,239.39
clothing,5,331.51
other,35,1986.43
clothing,11,709.02
shoes,6,656.04
other,10,657.32
appliances,8,618.61
clothing,1,66.93
electronics,14,508.93
other,37,2201.09
clothing,15,901.56
laptop,2,27.25
electronics,2,83.86
clothing,31,1770.45
appliances,13,874.81
other,40,2369.55
other,16,886.9
shoes,10,992.41
other,30,1788.64
other,10,666.47
other,24,1420.11
clothing,19,1069.82
electronics,3,134.08
bag,4,247.45
car parts,8,635.74
other,2,139.17
other,20,1146.2
clothing,30,1702.73
other,35,2034.06
perfume,4,399.54
clothing,23,1349.82
clothing,26,1470.56
other,27,1529.45
other,29,1716.17
other,25,1405.04
other,22,1276.49
other,26,1506.92
clothing,34,1879.45
clothing,14,872.68
shoes,10,818.23
clothing,40,2234.35
other,30,1744.26
electronics,13,514.6
laptop,7,97.81
electronics,4,173.31
other,31,1754.45
clothing,29,1603.31
other,40,2325.58
other,13,798.63
clothing,36,2101.71
perfume,4,380.71
appliances,14,899.62
clothing,29,1680.45
clothing,14,903.44
other,12,775.33
other,37,2115.27
laptop,8,133.98
electronics,13,479.67
clothing,27,1512.48
other,16,884.15
perfume,2,179.82
laptop,9,135.79
other,40,2326.03
electronics,11,436.33
perfume,1,75.25
laptop,3,42.72
clothing,4,276.2
other,6,395.69
other,23,1344.27
clothing,10,695.01
bag,3,200.42
phone,2,33.01
electronics,6,254.56
electronics,14,556.86
other,22,1283.07
shoes,5,487.4
other,36,2062.44
clothing,10,692.14
clothing,8,531.26
electronics,10,417.49
other,36,2141.64
electronics,8,351.9
shoes,5,521.04
shoes,4,400.92
books,2,82.85
appliances,4,245.4
laptop,4,59.79
perfume,4,357.67
other,11,702.05
laptop,7,95.54
appliances,19,1402.61
electronics,8,313.24
perfume,4,381.54
bag,5,378.34
other,22,1306.83
books,3,111.93
clothing,9,604.64
electronics,11,434.78
other,10,668.83
clothing,13,790.14
bag,3,256.28
other,6,412.8
other,32,1844.3
clothing,38,2262.39
other,11,691.23
other,17,970.01
clothing,18,1034.23
books,1,53.17
other,11,699.82
clothing,16,933.42
shoes,5,410.68
other,28,1573.74
other,18,1025.75
shoes,8,789.06
shoes,6,603.01
electronics,3,114.36
perfume,5,467.63
clothing,37,2036.91
clothing,25,1475.23
clothing,31,1841.03
other,3,199.81
shoes,5,468.84
shoes,6,496.8
other,33,1911.51
perfume,4,333.34
other,22,1306.08
clothing,23,1378.69
shoes,9,978.85
clothing,19,1096.47
other,29,1595.17
appliances,3,242.23
phone,2,33.0
perfume,1,94.02
clothing,9,608.11
phone,1,16.09
clothing,12,779.49
other,10,695.96
electronics,4,148.5
laptop,3,49.88
clothing,1,68.55
shoes,6,544.59
perfume,5,422.72
clothing,38,2252.74
electronics,14,520.48
bag,6,388.59
perfume,1,81.7
electronics,1,38.51
shoes,4,340.13
appliances,3,230.86
clothing,6,399.08
clothing,15,963.45
clothing,6,404.71
other,34,1983.41
clothing,13,786.71
shoes,8,690.59
electronics,3,127.12
other,38,2245.89
perfume,1,94.11
other,33,1909.93
clothing,12,720.24
books,3,160.4
clothing,35,1990.86
electronics,4,169.51
shoes,2,217.35
clothing,21,1253.78
laptop,5,82.74
clothing,38,2234.43
other,27,1599.7
electronics,5,218.26
clothing,17,997.64
phone,3,47.42
clothing,1,67.37
shoes,5,549.65
other,11,706.28
clothing,5,345.46
other,4,260.64
electronics,14,546.37
other,29,1649.49
clothing,6,409.91
other,24,1358.11
shoes,10,1041.53
shoes,2,192.1
electronics,12,472.78
phone,2,30.44
other,31,1782.47
other,20,1156.21
laptop,7,95.91
electronics,12,436.16
clothing,38,2157.64
clothing,23,1362.11
other,30,1791.06
other,26,1531.49
other,30,1792.92
other,10,681.1
shoes,7,656.31
other,2,132.29
perfume,3,269.65
other,10,653.07
other,1,67.69
other,12,736.28
clothing,12,773.67
clothing,2,135.74
other,10,671.79
other,13,783.0
clothing,26,1526.34
clothing,36,2104.91
other,13,802.66
other,32,1881.78
other,11,663.45
other,4,264.72
other,7,472.72
clothing,21,1237.51
shoes,10,977.04
other,16,937.97
electronics,8,347.24
phone,2,28.76
other,20,1168.62
electronics,6,258.69
electronics,11,423.87
electronics,10,357.9
clothing,9,593.82
electronics,6,254.95
shoes,3,271.78
other,31,1782.67
clothing,29,1661.28
other,16,943.31
clothing,21,1212.93
shoes,6,635.97
electronics,15,592.83
books,3,137.98
electronics,10,396.37
laptop,5,69.57
appliances,11,672.67
laptop,5,74.53
shoes,10,872.43
clothing,16,933.45
other,31,1794.76
perfume,3,246.96
electronics,2,71.23
other,10,690.34
electronics,2,75.06
electronics,8,317.52
electronics,15,535.04
bag,6,439.25
other,29,1674.13
other,13,844.06
laptop,6,81.3
shoes,6,588.35
phone,1,14.79
other,15,956.06
electronics,6,256.89
other,40,2235.7
other,10,669.5
laptop,7,109.06
other,21,1253.66
electronics,9,326.33
clothing,13,818.9
bag,5,353.91
electronics,5,212.5
shoes,4,427.92
electronics,9,378.8
other,25,1487.1
other,1,66.27
other,14,898.77
clothing,2,130.54
clothing,27,1503.55
clothing,30,1701.67
laptop,4,65.08
other,25,1446.88
electronics,10,435.29
other,21,1204.78
clothing,18,1032.17
other,13,781.18
shoes,8,862.49
other,38,2104.14
clothing,2,135.69
clothing,21,1169.43
electronics,6,234.7
clothing,25,1462.48
electronics,11,430.66
other,21,1167.7
other,21,1162.39
electronics,13,498.28
clothing,19,1099.31
other,37,2060.36
clothing,33,1842.49
clothing,9,599.43
other,5,348.92
clothing,7,482.91
electronics,12,463.0
clothing,24,1427.87
books,3,135.85
clothing,22,1285.35
laptop,9,139.41
other,4,261.99
electronics,11,393.04
laptop,4,59.08
electronics,2,84.08
phone,2,28.72
clothing,17,1014.36
clothing,4,267.18
electronics,9,377.24
clothing,15,935.74
other,3,208.94
clothing,15,905.48
bag,2,159.89
electronics,6,239.54
other,26,1446.81
clothing,19,1076.77
other,27,1501.58
electronics,1,41.09
clothing,3,202.09
clothing,38,2101.23
other,23,1325.7
shoes,10,806.46
perfume,5,414.33
perfume,2,176.63
other,10,680.28
electronics,15,561.28
electronics,10,402.78
other,36,2151.15
other,25,1428.11
clothing,13,824.18
laptop,6,86.59
other,21,1241.42
perfume,4,301.8
clothing,19,1106.37
other,29,1643.5
electronics,11,421.77
shoes,7,754.86
clothing,8,529.78
clothing,7,457.99
shoes,4,351.14
clothing,37,2159.55
shoes,5,432.48
phone,3,40.25
clothing,38,2194.09
phone,2,27.02
other,15,906.25
electronics,15,550.12
phone,1,14.21
electronics,5,183.95
clothing,12,740.98
perfume,2,170.17
other,25,1379.28
shoes,8,694.53
books,5,242.92
laptop,9,150.65
other,39,2290.08
other,16,933.08
clothing,7,483.02
perfume,1,86.26
electronics,14,558.13
clothing,18,1044.53
appliances,10,797.17
other,37,2175.36
bag,1,81.71
clothing,14,859.89
electronics,7,302.68
shoes,6,518.69
clothing,27,1588.76
shoes,5,516.65
laptop,3,49.35
other,17,1010.8
other,14,906.2
clothing,2,133.33
perfume,4,395.95
clothing,8,546.97
clothing,16,932.03
other,38,2102.43
shoes,5,520.98
other,37,2179.78
other,10,693.61
clothing,26,1534.15
shoes,1,109.62
clothing,28,1666.3
phone,2,26.47
clothing,1,66.6
electronics,1,43.24
shoes,5,417.6
shoes,8,806.17
clothing,18,1036.38
clothing,18,1074.49
bag,2,128.61
clothing,29,1629.29
phone,3,48.2
clothing,37,2213.86
phone,2,28.75
electronics,12,426.81
other,15,956.66
shoes,1,84.26
other,6,418.75
electronics,8,333.15
phone,3,44.46
clothing,24,1391.93
shoes,9,949.47
clothing,23,1266.09
other,38,2259.41
other,30,1736.9
books,3,149.36
clothing,32,1887.72
shoes,7,719.23
other,28,1600.24
clothing,17,991.47
perfume,3,229.65
appliances,15,1188.69
other,35,2092.61
perfume,2,171.12
perfume,3,222.14
electronics,14,512.58
books,2,92.74
electronics,9,381.21
electronics,12,447.37
clothing,37,2049.7
clothing,14,900.41
phone,2,30.2
clothing,27,1586.16
perfume,5,443.41
electronics,9,348.04
clothing,1,69.49
other,36,2022.58
shoes,3,286.93
shoes,6,655.69
other,21,1183.47
shoes,6,646.91
electronics,7,307.7
electronics,14,497.7
other,37,2206.12
other,27,1494.84
shoes,2,206.2
clothing,30,1787.87
clothing,13,792.51
shoes,9,819.52
laptop,9,147.0
clothing,5,329.2
shoes,5,455.21
clothing,26,1446.13
other,14,890.08
electronics,2,80.51
bag,2,154.08
clothing,2,130.13
other,14,870.82
clothing,5,327.36
clothing,29,1738.83
bag,4,347.66
bag,6,476.34
other,39,2210.39
other,25,1498.61
other,20,1156.96
other,38,2145.95
appliances,20,1478.0
electronics,11,405.67
other,3,196.09
other,23,1376.72
clothing,31,1849.51
perfume,4,304.71
laptop,3,43.89
other,38,2189.23
electronics,6,261.2
bag,6,406.56
other,2,130.13
other,32,1838.52
laptop,3,47.59
other,35,1933.99
clothing,16,956.07
shoes,2,204.73
other,22,1293.39
clothing,31,1775.09
clothing,20,1135.51
electronics,12,424.2
perfume,2,195.79
electronics,2,76.09
clothing,9,620.87
electronics,11,410.91
laptop,10,143.79
other,33,1962.07
clothing,18,1043.76
shoes,7,712.74
phone,3,46.52
shoes,1,105.55
other,8,525.85
shoes,8,811.79
clothing,29,1638.77
other,11,713.32
clothing,39,2198.4
other,8,530.01
shoes,2,169.79
clothing,32,1769.81
clothing,25,1477.91
laptop,4,54.48
laptop,2,31.35
other,15,943.19
other,38,2270.79
phone,1,15.0
shoes,2,198.23
clothing,9,585.42
clothing,39,2180.76
electronics,8,300.88
other,28,1551.15
clothing,34,1996.89
perfume,3,265.39
electronics,2,76.85
other,3,199.64
other,36,2140.05
shoes,2,191.38
clothing,17,982.9
perfume,3,274.05
other,33,1820.77
appliances,5,315.71
clothing,11,712.9
clothing,12,725.68
shoes,8,777.46
shoes,9,855.32
other,17,983.4
other,12,778.45
electronics,2,72.58
electronics,4,153.67
clothing,20,1143.77
clothing,26,1555.95
clothing,4,263.72
electronics,1,44.23
clothing,18,1036.2
electronics,1,40.7
other,9,585.88
other,16,932.11
perfume,2,184.01
clothing,31,1839.64
other,14,876.12
clothing,25,1405.9
electronics,11,408.47
electronics,13,459.02
clothing,9,613.5
perfume,2,160.73
perfume,1,87.8
other,5,327.39
electronics,4,144.04
electronics,7,285.74
phone,2,27.28
appliances,9,574.53
other,28,1556.95
clothing,21,1224.24
laptop,2,27.45
clothing,24,1367.11
other,39,2153.69
phone,1,16.53
shoes,3,260.24
other,33,1920.97
perfume,2,167.43
clothing,34,2034.13
other,5,347.06
other,2,133.79
other,36,2083.7
clothing,10,670.89
laptop,2,31.08
other,26,1479.95
other,22,1307.0
other,35,2018.72
electronics,15,570.29
other,31,1801.23
electronics,7,252.9
laptop,10,149.73
appliances,20,1200.91
electronics,13,489.66
electronics,8,298.35
other,32,1851.76
books,5,264.73
electronics,11,433.8
clothing,18,997.72
appliances,10,580.31
electronics,4,142.65
other,21,1197.08
appliances,19,1478.8
clothing,20,1126.14
clothing,22,1260.74
electronics,7,285.99
other,39,2239.58
other,13,793.4
laptop,4,56.99
phone,3,40.61
other,24,1385.62
shoes,9,733.4
other,30,1738.09
electronics,3,110.34
clothing,19,1062.75
electronics,4,146.41
electronics,11,403.13
phone,1,15.87
perfume,4,281.05
other,26,1451.47
other,18,1050.77
appliances,15,934.63
electronics,3,126.73
other,5,347.67
other,25,1407.54
phone,2,26.95
clothing,13,813.5
phone,2,27.56
appliances,15,1152.1
appliances,18,1046.85
electronics,5,217.11
electronics,7,256.76
clothing,4,261.75
books,4,146.13
electronics,8,326.01
other,21,1155.15
clothing,12,755.34
clothing,4,270.61
clothing,5,336.62
other,36,2003.73
electronics,3,109.41
laptop,8,110.19
clothing,37,2086.58
clothing,8,556.79
other,40,2327.14
shoes,5,519.23
other,15,956.2
clothing,39,2298.74
electronics,5,219.64
appliances,12,712.7
phone,1,13.98
clothing,38,2147.46
other,15,944.0
clothing,25,1446.97
clothing,40,2282.17
clothing,11,672.61
clothing,40,2349.11
books,3,131.43
phone,1,15.0
clothing,27,1530.68
clothing,30,1696.54
electronics,15,559.41
clothing,15,915.61
other,1,66.97
clothing,20,1162.28
other,39,2337.42
phone,2,30.5
clothing,7,461.76
phone,2,27.16
shoes,8,870.67
clothing,25,1449.77
perfume,4,356.67
clothing,18,1067.1
clothing,32,1825.88
other,34,1959.34
other,2,136.43
other,40,2334.59
other,29,1660.22
electronics,6,231.81
clothing,5,338.36
electronics,12,450.15
shoes,3,310.69
laptop,5,69.52
clothing,23,1275.14
other,16,921.03
shoes,4,416.12
other,31,1835.18
bag,6,505.3
appliances,8,565.75
electronics,2,81.15
other,2,130.39
other,23,1283.19
other,2,135.78
other,29,1722.62
appliances,3,184.76
other,23,1341.67
clothing,24,1368.19
appliances,9,694.38
other,11,667.99
clothing,38,2112.38
electronics,10,375.19
electronics,4,172.16
phone,2,26.89
other,15,928.95
clothing,11,664.05
clothing,36,2060.05
clothing,6,392.49
electronics,5,181.91
other,19,1058.49
clothing,28,1575.9
other,12,743.26
clothing,20,1184.02
clothing,5,333.64
clothing,6,400.94
electronics,10,393.64
shoes,3,319.04
other,31,1706.06
bag,2,128.24
clothing,13,781.32
electronics,2,74.65
clothing,7,482.14
other,12,745.04
electronics,13,496.38
other,24,1363.37
shoes,3,299.68
electronics,3,112.46
clothing,1,67.61
other,11,680.69
laptop,10,145.5
phone,3,44.25
electronics,1,41.23
other,11,713.49
clothing,10,689.78
phone,1,15.42
perfume,3,285.81
electronics,5,185.69
other,30,1673.43
clothing,8,535.95
shoes,3,242.75
electronics,13,519.8
clothing,25,1390.94
clothing,19,1062.69
other,32,1917.37
shoes,7,765.83
electronics,12,464.18
other,34,2017.6
other,34,1991.81
other,39,2172.66
electronics,14,505.52
shoes,5,417.85
electronics,7,252.89
clothing,32,1826.29
clothing,3,208.29
clothing,39,2323.69
car parts,12,839.8
clothing,27,1491.68
other,20,1186.99
other,21,1252.23
other,2,136.68
clothing,10,697.75
other,38,2237.14
laptop,4,57.98
electronics,5,191.62
