category,weight,cost
clothing,10,655.04
other,7,486.74
laptop,9,128.88
phone,3,44.86
perfume,4,342.31
electronics,8,318.56
clothing,11,708.73
clothing,19,1073.79
clothing,35,1925.59
other,19,1050.39
other,36,2070.15
other,36,2003.21
clothing,24,1438.49
clothing,7,487.61
phone,3,49.21
clothing,38,2251.25
perfume,2,147.19
clothing,12,748.91
shoes,10,895.32
laptop,2,31.58
clothing,18,1031.88
clothing,26,1459.28
other,5,342.5
clothing,35,1947.45
clothing,5,346.37
other,2,137.16
appliances,3,217.39
other,13,844.86
other,3,207.92
perfume,1,93.33
bag,3,239.47
electronics,4,148.46
clothing,30,1759.33
clothing,18,1077.3
other,15,901.68
perfume,4,284.38
clothing,18,1028.93
laptop,8,117.25
books,5,183.81
clothing,15,962.02
bag,1,68.23
shoes,6,536.65
other,11,700.62
perfume,5,434.8
shoes,9,871.78
other,39,2294.89
clothing,39,2305.5
clothing,30,1652.89
shoes,8,854.82
clothing,6,402.26
clothing,37,2215.13
clothing,25,1468.9
clothing,4,268.35
other,37,2166.74
phone,1,14.69
clothing,28,1624.92
shoes,8,648.89
other,22,1219.93
phone,2,33.19
perfume,5,388.99
electronics,6,231.77
books,5,245.4
other,40,2254.81
shoes,10,810.24
other,29,1704.04
shoes,9,946.36
perfume,4,352.92
other,1,68.99
other,32,1808.76
car parts,16,1232.4
phone,1,16.43
clothing,35,1977.69
clothing,7,486.43
electronics,14,526.57
phone,3,41.17
clothing,12,774.59
laptop,7,109.3
laptop,6,92.15
perfume,2,176.33
electronics,5,213.97
other,37,2178.78
appliances,19,1527.47
clothing,11,697.72
other,13,839.51
clothing,12,731.97
clothing,11,676.96
clothing,5,342.56
clothing,24,1344.31
appliances,11,873.43
other,4,274.0
clothing,15,918.57
books,3,134.02
other,3,201.15
clothing,26,1492.99
electronics,14,516.93
electronics,9,334.65
other,14,868.96
electronics,13,485.87
laptop,5,78.15
perfume,3,276.43
phone,2,30.13
appliances,19,1366.17
other,1,69.08
phone,1,14.39
other,35,1958.68
car parts,10,682.11
clothing,18,1058.82
laptop,3,44.26
clothing,38,2138.03
clothing,22,1277.8
laptop,8,125.96
other,40,2287.43
electronics,3,125.69
bag,1,71.36
clothing,32,1893.96
other,5,333.1
other,20,1185.44
electronics,5,189.79
clothing,1,67.81
other,39,2320.15
laptop,6,86.83
electronics,10,351.3
clothing,29,1724.72
other,7,483.3
electronics,3,134.71
other,5,331.13
shoes,2,214.67
other,15,923.64
shoes,3,296.09
bag,3,245.04
other,10,675.94
shoes,9,824.55
electronics,7,286.38
other,7,470.04
perfume,2,162.31
shoes,10,1056.6
other,29,1652.27
phone,1,15.64
clothing,37,2120.17
electronics,11,433.66
shoes,9,965.48
appliances,11,707.66
perfume,3,263.48
clothing,11,703.25
shoes,2,188.27
other,15,928.42
perfume,3,211.08
clothing,7,468.67
other,9,628.11
clothing,7,464.08
other,4,270.34
electronics,8,301.29
other,38,2178.73
other,9,614.99
other,39,2150.21
books,3,158.82
shoes,5,416.76
perfume,2,196.76
books,5,194.27
electronics,12,457.64
phone,3,50.18
laptop,7,106.0
shoes,9,920.99
laptop,4,57.44
shoes,1,109.6
other,35,1976.02
other,3,208.0
other,25,1480.71
phone,1,14.15
bag,2,153.59
laptop,10,161.24
other,7,457.25
other,40,2381.42
bag,2,160.92
other,35,1988.54
shoes,7,591.36
other,34,1906.05
other,33,1823.16
laptop,7,113.6
shoes,9,870.65
clothing,35,1972.86
clothing,21,1196.75
shoes,8,664.28
clothing,12,769.57
clothing,33,1873.52
other,31,1748.46
clothing,38,2174.6
laptop,7,117.25
other,14,892.07
perfume,3,222.07
shoes,2,215.49
laptop,8,130.39
clothing,11,675.14
clothing,23,1316.37
clothing,7,472.09
electronics,6,233.71
shoes,7,631.31
clothing,20,1152.68
other,36,2054.28
other,38,2126.1
laptop,4,63.15
electronics,2,70.71
perfume,2,153.88
laptop,5,67.73
appliances,3,208.46
other,37,2112.54
clothing,1,66.06
laptop,8,127.64
other,29,1702.52
clothing,27,1577.36
other,17,958.08
appliances,11,734.96
phone,1,15.71
bag,3,192.56
other,12,737.22
clothing,19,1091.77
electronics,1,35.31
shoes,10,855.51
clothing,6,400.96
electronics,4,171.87
other,13,823.0
electronics,3,128.43
clothing,20,1113.48
phone,1,14.01
clothing,38,2093.0
clothing,1,68.93
shoes,7,686.44
bag,5,433.54
clothing,32,1849.75
shoes,6,613.73
other,26,1452.05
clothing,27,1594.29
phone,1,16.2
other,28,1619.46
perfume,4,373.64
other,34,1938.2
shoes,6,641.81
clothing,37,2081.21
other,30,1790.86
clothing,18,1010.0
other,29,1662.88
phone,3,41.88
clothing,15,937.56
shoes,4,433.01
books,2,86.98
laptop,3,39.64
clothing,40,2240.87
other,6,400.8
bag,3,246.81
clothing,13,817.29
shoes,7,588.25
other,19,1112.68
clothing,13,806.09
other,30,1797.25
other,25,1449.81
electronics,8,284.58
bag,1,66.77
other,14,860.84
laptop,6,100.16
clothing,3,200.27
phone,2,29.21
phone,2,28.74
other,22,1223.07
clothing,36,2109.28
other,6,400.07
phone,2,28.54
electronics,10,405.48
clothing,20,1158.44
shoes,1,96.13
perfume,3,296.05
electronics,8,313.48
other,18,1009.27
clothing,32,1866.24
clothing,18,1073.27
other,22,1298.41
laptop,10,136.27
phone,3,48.33
other,37,2208.26
laptop,2,30.11
clothing,19,1108.22
laptop,7,96.22
shoes,7,610.02
phone,1,15.81
other,37,2106.82
clothing,30,1791.86
clothing,34,2004.22
other,18,1002.38
clothing,1,65.9
books,1,52.34
electronics,4,177.61
electronics,6,223.32
electronics,6,227.55
other,18,991.58
clothing,26,1491.46
shoes,4,425.98
other,38,2101.6
electronics,14,530.49
laptop,5,75.39
other,5,346.85
other,28,1582.13
clothing,32,1796.54
phone,3,43.1
other,7,486.48
other,30,1659.35
electronics,15,557.72
electronics,5,176.26
clothing,4,270.73
other,25,1420.43
clothing,29,1606.04
phone,2,30.99
perfume,3,266.73
perfume,4,368.0
clothing,25,1450.68
laptop,8,122.67
electronics,13,473.85
appliances,3,213.43
other,20,1188.95
perfume,1,78.5
electronics,14,497.2
electronics,10,361.73
electronics,1,40.17
clothing,31,1800.95
appliances,6,357.1
electronics,2,77.23
clothing,34,1916.38
other,3,207.25
shoes,9,786.62
other,19,1113.82
books,3,134.93
other,28,1650.28
clothing,3,201.03
clothing,16,942.61
other,28,1613.47
electronics,4,147.81
clothing,26,1547.54
other,29,1720.55
shoes,1,83.72
phone,2,29.45
shoes,2,184.76
electronics,3,116.28
clothing,12,766.39
other,31,1745.51
appliances,9,732.24
laptop,2,29.99
laptop,9,119.64
electronics,9,379.15
other,14,892.38
electronics,6,224.45
shoes,1,99.65
other,14,859.52
electronics,4,149.17
other,11,683.72
shoes,10,849.43
perfume,5,480.16
laptop,8,119.73
clothing,21,1164.99
laptop,7,95.78
phone,3,49.09
electronics,10,419.41
clothing,8,559.99
shoes,1,89.2
other,36,2043.85
other,5,346.7
electronics,7,265.42
shoes,8,702.54
clothing,26,1454.64
clothing,4,274.72
laptop,8,134.01
laptop,2,32.3
other,38,2153.8
electronics,13,466.7
phone,3,42.58
clothing,37,2063.74
phone,1,15.8
other,36,1980.38
clothing,21,1197.6
bag,2,142.71
laptop,5,68.28
other,30,1723.13
shoes,1,80.72
electronics,14,527.86
phone,3,42.11
other,26,1504.58
electronics,3,126.3
clothing,38,2115.79
electronics,11,410.84
clothing,6,407.43
shoes,4,381.93
bag,3,191.13
shoes,10,946.1
shoes,2,193.72
other,37,2046.71
electronics,7,246.21
other,25,1469.58
electronics,2,75.36
electronics,14,514.34
electronics,4,149.79
clothing,17,961.05
car parts,19,1723.21
clothing,18,1052.66
clothing,33,1829.84
shoes,5,431.22
shoes,4,373.97
phone,3,48.46
clothing,5,327.44
other,35,2012.63
clothing,31,1854.92
electronics,15,568.12
clothing,25,1388.79
bag,3,185.05
shoes,2,211.58
other,34,1901.52
electronics,13,476.51
laptop,2,26.72
clothing,17,1014.4
perfume,5,491.63
appliances,5,349.12
appliances,17,1043.72
clothing,1,67.87
clothing,29,1611.05
laptop,3,49.29
other,39,2275.63
books,4,163.9
electronics,1,38.17
other,4,271.83
clothing,33,1890.06
electronics,1,43.27
electronics,15,592.19
perfume,1,79.51
other,26,1463.06
clothing,11,692.04
electronics,7,270.35
electronics,11,417.95
perfume,3,290.06
phone,3,42.27
other,2,130.91
shoes,1,102.37
other,34,1874.22
electronics,10,398.72
bag,5,424.26
clothing,30,1675.1
electronics,2,80.37
clothing,35,2040.98
clothing,38,2230.74
shoes,10,886.93
perfume,4,331.74
perfume,2,141.78
laptop,8,107.05
other,1,67.98
electronics,9,328.16
clothing,2,132.96
clothing,8,541.68
other,12,735.31
car parts,16,1303.66
clothing,17,1018.84
other,14,855.11
other,39,2297.71
other,12,741.37
electronics,6,260.79
car parts,18,1444.61
perfume,1,75.42
clothing,19,1125.08
phone,3,41.38
clothing,11,669.53
shoes,6,552.74
clothing,39,2177.06
clothing,6,408.74
appliances,5,351.82
bag,4,294.72
other,1,65.79
clothing,18,1062.9
electronics,7,269.68
phone,3,40.64
clothing,40,2257.77
other,29,1618.5
clothing,19,1075.82
clothing,21,1224.94
clothing,20,1150.49
clothing,23,1325.77
clothing,28,1580.17
other,6,414.51
shoes,8,764.26
laptop,6,97.07
shoes,4,390.51
perfume,3,223.61
phone,3,41.27
electronics,2,85.83
other,37,2203.73
other,32,1912.53
clothing,24,1357.84
other,26,1500.32
other,13,784.89
bag,2,139.25
other,25,1408.85
other,30,1786.56
electronics,10,360.93
books,4,201.02
other,5,346.57
clothing,38,2244.24
other,32,1874.14
bag,6,360.54
appliances,5,295.49
shoes,5,474.1
clothing,34,1913.54
other,11,684.22
bag,5,441.66
electronics,1,39.22
other,26,1524.71
clothing,30,1796.17
bag,5,324.76
electronics,3,110.49
clothing,23,1281.38
other,38,2133.16
appliances,20,1316.33
shoes,3,259.88
electronics,12,432.21
electronics,12,477.95
electronics,4,176.14
other,36,2148.73
shoes,7,683.19
electronics,8,330.82
shoes,8,850.73
electronics,6,269.09
appliances,14,921.35
clothing,8,554.27
clothing,34,1916.54
clothing,34,2028.58
bag,3,231.38
perfume,2,177.83
clothing,13,809.21
electronics,12,428.59
clothing,39,2183.66
clothing,9,619.04
other,2,137.14
clothing,5,348.12
other,4,260.88
shoes,8,736.17
appliances,5,359.26
phone,3,46.52
shoes,2,176.92
bag,3,260.6
shoes,4,420.78
perfume,3,228.56
shoes,10,989.48
clothing,20,1189.16
clothing,14,862.63
electronics,10,402.09
other,10,696.63
appliances,18,1171.65
other,3,200.91
electronics,9,379.91
other,21,1230.12
phone,2,31.84
other,9,624.65
other,1,68.12
other,10,673.69
clothing,12,733.49
clothing,15,963.15
clothing,32,1878.12
car parts,16,1278.06
electronics,13,519.57
clothing,17,948.84
electronics,10,391.41
other,37,2123.3
bag,5,432.3
appliances,2,116.12
electronics,14,520.49
other,35,1933.02
clothing,1,66.24
clothing,24,1368.08
clothing,1,69.23
other,27,1561.8
other,34,1940.55
other,22,1303.96
books,2,104.39
laptop,6,79.51
phone,1,14.82
other,20,1176.53
other,8,547.29
shoes,6,589.62
clothing,5,336.11
shoes,8,780.58
shoes,6,598.21
perfume,1,96.41
clothing,32,1838.17
other,13,819.94
electronics,2,79.1
other,23,1329.58
clothing,27,1581.61
clothing,37,2042.64
laptop,4,66.24
bag,2,163.39
shoes,10,1086.26
shoes,10,1040.62
electronics,2,89.33
electronics,9,360.28
other,14,873.39
other,13,821.16
other,12,756.86
phone,2,29.34
other,29,1671.86
other,39,2231.7
clothing,18,1038.32
other,2,130.59
other,35,1961.51
other,9,626.73
laptop,7,111.34
books,1,50.33
shoes,8,859.24
other,5,340.32
laptop,3,40.05
laptop,2,32.16
books,5,212.45
perfume,3,260.96
clothing,16,895.63
bag,2,122.73
perfume,5,447.35
other,18,992.83
other,13,806.01
books,1,41.66
electronics,2,73.01
electronics,6,259.33
electronics,6,266.65
other,6,407.19
shoes,2,193.29
other,29,1686.8
other,40,2242.99
other,24,1398.98
clothing,8,556.78
appliances,2,146.91
electronics,14,534.47
other,4,260.57
other,38,2140.11
clothing,1,68.86
shoes,6,566.82
perfume,1,79.01
electronics,1,44.2
car parts,10,909.84
electronics,13,479.88
shoes,3,267.44
clothing,35,2052.59
clothing,14,873.81
electronics,7,296.99
laptop,2,28.03
clothing,24,1397.95
appliances,18,1455.29
electronics,11,395.07
bag,6,432.01
books,1,45.96
shoes,9,975.05
electronics,3,123.01
other,11,710.37
electronics,6,240.37
clothing,25,1428.89
other,28,1554.9
shoes,4,403.2
perfume,2,195.77
other,27,1524.53
clothing,4,272.48
appliances,20,1616.23
books,3,111.7
other,2,130.44
electronics,9,375.91
appliances,14,935.51
other,33,1880.79
shoes,10,803.02
electronics,1,39.93
electronics,1,44.09
books,1,48.52
electronics,10,418.41
clothing,19,1107.2
perfume,1,98.92
clothing,10,673.48
phone,2,29.47
clothing,22,1277.93
electronics,9,323.3
other,4,271.57
other,26,1430.59
clothing,8,535.15
clothing,26,1458.09
clothing,30,1658.52
laptop,4,61.29
clothing,21,1211.07
clothing,31,1781.11
shoes,8,788.56
other,18,1014.05
other,18,1036.4
other,4,266.5
perfume,2,164.23
appliances,7,481.14
clothing,5,326.84
other,5,338.01
phone,3,44.35
other,16,949.11
electronics,7,305.08
perfume,4,314.92
phone,2,29.48
clothing,27,1499.78
clothing,21,1187.99
shoes,10,1091.17
other,1,69.77
other,1,66.12
clothing,25,1436.8
clothing,35,1933.67
other,9,621.25
other,36,1989.0
appliances,1,61.24
clothing,25,1454.89
electronics,1,36.19
other,4,270.61
other,3,209.77
other,16,887.12
other,1,65.86
other,9,622.08
shoes,2,183.58
electronics,7,258.7
other,1,67.06
electronics,10,384.27
clothing,14,908.64
electronics,10,419.18
clothing,11,710.96
clothing,16,903.18
electronics,3,112.31
other,2,138.74
electronics,6,268.16
clothing,13,785.82
laptop,9,120.08
laptop,9,149.08
shoes,6,653.14
clothing,8,558.96
electronics,14,556.3
clothing,26,1556.07
clothing,40,2204.02
shoes,7,699.12
clothing,30,1695.3
other,32,1841.71
appliances,11,836.81
other,18,1061.88
books,5,191.12
bag,1,86.22
other,36,2123.77
bag,3,243.3
shoes,6,627.07
clothing,6,400.69
clothing,2,131.31
electronics,2,85.35
shoes,10,1080.5
other,23,1265.51
electronics,5,180.28
perfume,3,296.07
laptop,8,128.52
books,2,94.66
perfume,5,352.72
laptop,7,110.96
clothing,32,1778.68
electronics,1,40.23
other,27,1531.82
other,16,935.32
bag,4,270.85
clothing,27,1543.62
phone,2,32.91
electronics,1,40.98
other,19,1129.06
other,10,657.21
laptop,8,124.64
clothing,13,813.92
other,5,329.21
other,24,1333.55
clothing,24,1394.01
bag,6,419.95
clothing,29,1659.23
clothing,6,407.23
other,7,465.35
other,4,275.04
other,29,1595.12
electronics,6,212.48
clothing,17,1019.01
other,14,859.1
clothing,21,1240.4
other,37,2135.71
other,25,1420.57
bag,6,461.21
shoes,4,356.96
clothing,21,1251.05
shoes,8,854.52
electronics,6,247.7
shoes,2,188.01
electronics,12,420.87
clothing,34,1881.59
electronics,9,364.66
other,20,1179.66
phone,2,29.92
electronics,7,269.26
other,8,535.51
electronics,4,157.34
perfume,5,371.4
other,36,2106.36
other,36,2126.97
bag,3,243.35
shoes,1,91.24
laptop,5,68.29
car parts,18,1626.75
phone,3,45.99
clothing,17,961.96
clothing,1,69.22
phone,1,14.79
electronics,3,125.68
clothing,24,1342.81
other,16,883.64
clothing,10,663.3
shoes,10,1017.48
shoes,4,386.51
laptop,4,62.23
clothing,26,1495.14
other,3,195.41
clothing,36,2092.58
appliances,11,693.8
clothing,11,714.41
phone,2,27.44
other,38,2126.19
shoes,5,468.22
clothing,31,1761.77
appliances,20,1598.36
appliances,6,478.26
clothing,35,1939.08
perfume,2,160.43
clothing,16,945.87
shoes,1,109.05
electronics,5,204.28
shoes,1,95.68
clothing,40,2245.38
clothing,12,741.63
electronics,5,214.23
clothing,20,1115.16
other,5,349.42
electronics,9,330.87
clothing,39,2230.14
clothing,31,1734.33
other,21,1257.37
perfume,3,287.3
phone,3,49.21
other,25,1448.08
clothing,29,1713.64
other,37,2113.0
shoes,10,852.83
clothing,36,1980.35
bag,1,85.55
clothing,26,1521.39
laptop,5,66.47
clothing,10,658.61
clothing,28,1561.67
car parts,7,549.98
appliances,16,1276.91
other,30,1653.06
clothing,5,347.01
other,33,1876.07
shoes,1,109.55
bag,4,331.83
appliances,16,1092.27
clothing,29,1601.03
clothing,36,2156.29
other,16,913.18
other,3,209.71
other,21,1253.67
clothing,33,1928.14
laptop,4,55.75
electronics,2,81.55
shoes,1,95.31
electronics,13,479.16
shoes,1,107.77
clothing,32,1815.14
other,28,1561.78
other,24,1382.75
electronics,7,282.69
other,9,619.42
other,1,65.65
phone,2,26.4
phone,1,15.01
phone,1,14.64
shoes,4,423.75
phone,3,44.2
books,4,182.23
perfume,3,248.54
bag,6,447.11
clothing,37,2204.16
other,21,1175.21
electronics,11,414.07
electronics,2,75.59
electronics,4,168.51
books,5,222.92
shoes,10,1095.1
phone,3,44.76
other,39,2323.87
laptop,6,98.63
electronics,12,454.75
electronics,1,39.98
electronics,10,431.65
perfume,3,271.76
clothing,19,1086.93
electronics,13,468.18
shoes,3,303.4
phone,2,26.58
other,9,618.0
clothing,15,917.58
books,3,123.52
perfume,1,87.3
clothing,11,682.81
shoes,10,804.74
shoes,9,939.22
phone,1,14.72
shoes,2,189.8
other,19,1094.94
electronics,6,241.33
clothing,2,133.48
clothing,5,345.84
clothing,29,1641.88
other,11,671.61
clothing,13,835.55
phone,3,49.56
shoes,5,457.64
appliances,10,633.1
clothing,11,671.6
other,30,1799.4
shoes,8,805.77
clothing,33,1894.71
laptop,10,138.84
clothing,9,598.9
clothing,34,1905.92
electronics,11,401.08
other,22,1256.72
shoes,5,417.31
clothing,34,1951.59
clothing,5,349.75
books,2,100.62
shoes,5,496.64
electronics,6,230.08
other,30,1756.41
shoes,10,862.54
electronics,14,537.44
bag,4,305.24
clothing,21,1174.57
electronics,11,429.1
other,18,1058.64
electronics,13,519.54
other,35,2037.51
clothing,1,66.49
perfume,4,366.96
clothing,26,1476.37
phone,1,13.8
phone,1,16.32
electronics,3,118.36
other,25,1423.96
other,1,69.58
clothing,21,1194.87
other,21,1188.87
shoes,9,883.97
other,18,998.67
other,34,1907.11
bag,3,268.44
other,23,1348.27
perfume,3,290.9
clothing,12,744.36
other,28,1577.48
other,1,66.14
clothing,34,2023.09
other,34,1888.66
laptop,8,125.76
phone,1,14.24
other,4,269.5
other,27,1489.42
other,17,970.36
other,10,686.09
clothing,17,965.96
perfume,3,220.21
clothing,33,1907.02
electronics,8,329.04
appliances,1,66.53
clothing,13,782.91
clothing,27,1500.16
appliances,14,891.26
clothing,15,967.21
phone,2,31.76
perfume,1,79.26
other,16,883.25
other,3,202.05
perfume,3,241.38
phone,2,30.05
clothing,14,849.37
electronics,7,258.33
clothing,3,207.61
laptop,7,110.36
shoes,9,983.22
electronics,9,342.74
clothing,39,2187.86
laptop,6,90.9
shoes,4,326.68
other,38,2139.7
clothing,28,1549.74
electronics,14,525.12
electronics,10,434.27
other,37,2169.66
perfume,2,167.54
phone,2,29.78
car parts,20,1831.39
other,14,859.63
other,40,2397.21
other,1,68.34
other,3,199.75
other,23,1339.95
laptop,8,117.01
laptop,9,142.54
other,33,1977.27
books,1,52.63
electronics,8,349.57
electronics,4,157.03
electronics,11,407.23
clothing,22,1236.72
electronics,11,430.22
laptop,2,29.5
clothing,28,1634.48
clothing,40,2389.68
other,10,672.02
shoes,1,83.04
phone,1,14.02
other,34,1988.01
electronics,13,488.52
clothing,34,1982.07
other,2,133.09
other,20,1104.31
clothing,15,951.12
clothing,29,1647.98
shoes,8,837.52
other,28,1572.83
other,40,2283.05
other,8,545.21
shoes,2,215.03
electronics,7,256.15
shoes,9,736.51
shoes,4,394.75
clothing,34,1924.53
laptop,4,53.75
phone,2,28.94
laptop,10,143.82
perfume,5,380.92
phone,2,32.28
clothing,27,1577.53
clothing,15,935.51
clothing,28,1575.9
clothing,24,1418.87
shoes,7,574.13
shoes,5,469.39
clothing,27,1602.54
phone,2,30.2
appliances,7,503.13
clothing,29,1735.11
clothing,1,69.61
other,12,749.65
phone,1,16.38
shoes,2,193.14
other,34,1984.49
appliances,3,245.58
other,33,1865.72
clothing,10,660.34
perfume,3,293.21
phone,3,46.95
other,40,2378.2
electronics,14,540.68
clothing,27,1508.45
appliances,8,633.12
clothing,10,684.42
clothing,31,1716.03
clothing,40,2360.63
electronics,10,392.8
clothing,10,661.22
perfume,2,180.84
other,37,2136.72
clothing,28,1614.53
other,18,1016.54
perfume,5,434.4
electronics,8,307.31
clothing,36,1997.62
other,30,1793.05
books,5,185.74
other,17,997.69
clothing,29,1719.18
other,21,1213.14
other,38,2229.14
electronics,14,548.37
perfume,5,397.63
electronics,11,406.74
clothing,29,1724.24
shoes,8,762.04
electronics,6,210.32
electronics,6,261.08
other,4,264.81
electronics,5,197.35
other,39,2285.57
laptop,8,124.48
clothing,36,2116.12
clothing,17,972.52
electronics,8,316.22
other,34,1984.32
clothing,10,652.29
bag,6,491.71
other,6,408.29
clothing,38,2151.46
other,7,469.19
clothing,39,2182.02
clothing,22,1276.2
shoes,9,811.76
perfume,5,385.72
clothing,37,2061.52
electronics,9,389.51
electronics,7,299.59
phone,1,13.63
electronics,3,111.21
phone,1,13.57
electronics,8,295.03
clothing,26,1455.64
other,39,2157.57
clothing,8,552.8
clothing,38,2095.8
clothing,31,1761.73
laptop,10,156.5
clothing,36,2009.2
electronics,4,150.8
clothing,33,1967.48
shoes,7,586.0
shoes,10,850.28
appliances,2,151.47
clothing,21,1210.59
clothing,32,1788.26
other,33,1961.67
electronics,14,493.16
electronics,12,452.34
perfume,2,141.86
other,29,1670.67
clothing,32,1827.8
other,7,485.94
laptop,5,77.39
clothing,22,1299.29
other,3,203.42
shoes,6,639.63
other,3,209.41
other,6,397.07
electronics,10,422.5
electronics,15,525.32
shoes,9,901.59
other,18,1071.89
other,20,1160.21
other,33,1855.45
electronics,2,87.47
books,3,154.3
clothing,31,1740.68
bag,6,448.31
appliances,4,313.5
laptop,5,71.9
books,3,116.1
perfume,2,194.48
other,29,1671.23
clothing,26,1559.92
phone,3,45.01
electronics,12,464.17
clothing,29,1668.31
perfume,4,381.45
electronics,9,373.93
clothing,10,684.79
clothing,20,1119.81
phone,3,48.71
other,28,1633.8
electronics,5,221.69
other,31,1738.05
electronics,5,206.19
clothing,15,919.2
phone,2,29.79
